G10	G7
0.6741285	1.1207866
0.5780274	1.0488863
0.6838220	0.9656254
0.6448207	0.8444349
0.5508763	0.9554806
0.5867923	0.8476230
0.5648889	0.9759896
0.5845682	1.0774063
0.5375582	0.9768620
0.8003858	0.0000000
0.7321904	0.0948307
0.7052389	0.2144904
0.7339018	0.3270747
0.7686756	0.5448447
0.6053493	0.5246852
0.7812192	0.6628619
0.5786783	0.6095714
0.8077791	0.8509622
0.6340480	1.0206785
0.6833212	0.9468032
0.6297056	0.9341407
0.5899910	1.0456081
0.6463849	0.8965029
0.7959094	1.0495378
0.7829654	0.8759402
0.7869460	0.8435767
0.7433675	1.0176488
0.6234325	0.9336566
0.7162164	0.9116637
0.7476921	0.9408038
0.7607334	0.0000000
0.8743755	0.0841132
0.8666679	0.1879384
0.9766442	0.2662853
0.7751359	0.3566338
0.6783323	0.5390017
0.7692834	0.7487429
0.7637323	0.8633623
0.8840526	0.8767644
0.9391096	0.8342678
0.7676389	1.1683678
0.8720764	0.9391793
0.8962804	0.9870075
0.7498157	0.9101099
0.8943911	1.0405475
0.8173318	1.0111794
0.7924799	1.0946508
0.7538868	0.9300648
0.9473065	1.0136268
0.7602807	1.0357035
0.7923434	1.1514669
0.8584757	0.0000000
0.9118628	0.0939333
0.8942169	0.2461280
0.9741448	0.2785585
1.0389335	0.3642785
0.7754029	0.4471956
0.8842198	0.5815490
0.7290955	0.5931245
0.9789156	0.6895495
0.8051654	0.8942682
0.7737518	0.9717831
0.9138737	0.9002913
0.7943142	0.9180790
0.8957541	0.9812049
0.8252449	0.9567410
0.9776578	0.8790063
0.9068387	0.9450192
0.9399801	1.0855746
1.0014149	1.1970623
0.8830714	1.0081221
0.8756244	0.9831447
1.0428342	0.0000000
1.0091779	0.1028229
1.0213183	0.1862930
0.9413399	0.3479392
0.9810597	0.3580748
0.9844195	0.5202155
0.8807250	0.4956992
0.9539829	0.7168415
1.0198638	0.9125063
0.8942268	0.8738256
1.0402339	1.0958896
0.9403882	1.1096102
1.0054142	1.1017131
0.9758160	0.9764407
1.0861500	0.9851154
1.0243254	1.0978961
0.8241036	0.8905620
0.9270332	1.0606151
0.9258969	0.8914605
1.0112656	1.0167878
1.0039918	0.9778214
0.9907071	0.0000000
1.1702933	0.1108926
0.8650183	0.2409128
1.0944484	0.2671873
0.9189323	0.3818421
0.8917615	0.5199160
1.0423408	0.6302950
0.9240408	0.7549117
0.9065416	0.7961454
0.9643361	0.9308721
1.0202287	1.1256630
1.0355947	0.9878029
1.0717831	1.1433238
0.9470131	0.9816812
1.0898200	1.0664197
0.9446630	1.0362812
0.9098801	0.9754421
0.9773783	1.0376305
0.9220876	0.9490805
0.7704882	0.9353789
0.9877250	1.0605483
1.0174022	0.0000000
0.9522816	0.1077282
1.0033153	0.1647284
0.8530163	0.2741310
0.9759972	0.5178325
1.0306311	0.5939842
1.0609745	0.5286271
