G1	G2	G3	G4	G5	G6	G9
8.7014693	1.6232991	8.4013107	2.2024700	3.6927028	0.5629671	1.8796185
8.4501629	1.6608058	9.2205268	2.1913874	3.3204635	0.5435707	1.4521660
8.1903247	1.7144418	8.4752711	1.9971265	3.3129576	0.4412679	1.5557546
9.3202887	1.7646328	8.5472017	1.9137919	3.4053447	0.5240686	1.5652852
9.7403613	1.7792852	8.4697607	2.0914428	3.7125883	0.4660502	1.3231543
9.3494055	2.0487356	8.9268176	2.3466475	2.9334695	0.4944003	1.4550213
9.7075533	2.0186564	8.4026423	2.0280935	3.1259569	0.5659279	1.5367895
9.3881833	1.9148597	8.5774839	2.2380142	3.4995773	0.5081488	1.6656012
9.2181579	1.5953867	8.8934549	2.1440647	3.4507001	0.3912453	1.3309854
9.0121451	1.7107185	9.0773458	2.1582379	3.2762377	0.4980308	1.5116938
8.6366262	1.7326447	8.8750401	2.1076163	3.3674324	0.4963764	1.4814693
9.1963956	1.5450345	8.5178531	2.2955267	3.6564821	0.4574521	1.5328731
8.8174321	1.8369011	8.1955612	2.1529036	3.5566394	0.5115891	1.5567349
8.2826085	1.7622092	8.6223321	2.2011372	3.4172669	0.5122471	1.4872850
8.6271327	2.0528364	8.7531295	2.1592005	3.1320060	0.6110367	1.5933898
8.9482885	1.9029394	8.4506450	2.2403096	3.3356765	0.4333305	1.5627679
8.5865250	1.6482369	8.6065040	2.0314967	3.3439288	0.4873438	1.5416324
8.1735420	1.6732940	8.9727962	2.3345721	3.7916681	0.4390090	1.7484822
9.3069475	1.6332530	8.2808564	1.9108590	3.5056823	0.5230559	1.5567752
9.8659273	1.6800780	8.2905783	1.9193266	3.5059179	0.5934764	1.5848781
8.7137613	1.7362534	8.2223955	2.0311177	3.2709583	0.7440457	1.7070714
8.9544209	1.6871623	8.3930822	2.2162546	3.2824544	0.5310297	1.5662612
8.5630296	1.6543727	8.1805754	2.1802917	3.7337950	0.6009808	1.4964581
8.6840484	1.6154940	8.5656435	2.3776190	3.3416295	0.5269300	1.6410773
8.8968789	1.7016055	8.4573067	2.2409649	3.0138014	0.4234690	1.4488379
9.4762727	1.8130886	8.8937271	2.2683130	3.5980463	0.4841867	1.6259214
9.0834086	1.7540316	8.3023703	2.0289482	3.3657049	0.5878396	1.4245676
9.0412117	1.6598399	8.5754803	2.2423256	2.9358460	0.5274656	1.4608361
8.4371344	2.1898308	8.2139126	2.4157136	3.1584262	0.4685487	1.3536985
9.2196424	1.6970853	8.6664607	2.3510661	3.8203324	0.5506300	1.9179282
9.1621088	1.8414897	8.5914919	2.1185343	3.2108947	0.3871651	1.4792036
9.0397124	1.7972366	8.5211272	2.1003181	3.5926141	0.4410820	1.4938949
8.4888842	1.5487696	8.1307567	2.0540391	3.6840695	0.5756411	1.6398782
8.9823842	1.6718000	8.3554919	1.8484677	3.2806127	0.5351372	1.7425210
9.0434980	1.8342754	8.8829517	1.9364339	3.3449307	0.4193887	1.4722013
8.7706820	1.7654607	8.8035207	2.1501902	3.6196182	0.4951916	1.6597527
8.7321385	1.5751799	8.5290936	1.9997770	3.2422262	0.5528464	1.6449348
9.1447301	1.7404917	9.1433430	2.1771751	3.4621761	0.4942093	1.4040806
8.7062804	1.6564791	9.8115861	2.1674599	3.3134650	0.4904764	1.5835334
8.8992298	1.8255976	8.3280504	2.0175672	3.4701383	0.5432057	1.6233736
9.1855321	1.8706152	8.1938349	2.0065527	3.3463441	0.5895938	1.4256192
8.8799059	1.8779564	8.1179661	2.2356042	3.6127392	0.5213545	1.5766291
9.8231109	1.5102682	8.0814243	2.2386480	3.3521915	0.5548265	1.3910048
8.7356130	1.6706935	8.2162017	2.2076309	3.6866918	0.4432381	1.6700273
9.4142556	1.8552369	8.4679552	2.1478762	3.1665781	0.4781132	1.6099701
8.7280829	1.6838058	8.4360289	2.3949111	3.4471243	0.5754932	1.5442437
8.8528399	1.7791454	8.8329231	2.2373721	3.0413041	0.5236430	1.8188513
8.0540366	1.6766220	8.4123597	1.9309644	3.3424801	0.4704280	1.4737211
9.1513550	1.7502465	8.8018833	1.9929171	3.2699396	0.5050845	1.5335375
9.0429714	1.8522466	8.1150050	2.0560314	3.4228238	0.4228796	1.5357981
8.9228287	1.6332245	8.4346983	2.1827112	3.4581703	0.4789339	1.4918070
8.5102791	1.9279765	8.1554213	2.5527953	3.2751570	0.4947368	1.6233487
8.2259544	1.9524258	8.0388011	2.3397158	3.7225219	0.6294786	1.6734394
9.1302188	1.7587789	8.9215460	2.2651510	3.6128895	0.5303834	1.6385522
8.6423064	1.7970641	8.3708484	2.1897873	3.1879065	0.5474180	1.5074039
8.9664811	1.7791888	8.3840512	2.0163309	3.3419744	0.5004536	1.6644169
8.6014226	1.7008086	8.2268565	2.2460167	3.3515328	0.5580555	1.6524083
8.8172499	1.5997110	8.3911877	2.0697491	3.6609664	0.5434997	1.6017894
9.0441564	1.6598916	9.0769164	1.8636151	3.3368959	0.4952280	1.5365305
8.9529647	1.7648923	8.7321938	2.3722828	3.9510312	0.6250469	1.5588591
8.3718530	1.8779584	8.4928022	2.3649820	3.3040663	0.6010708	1.4930032
8.7367828	1.8479965	8.4468897	2.0291883	3.5206795	0.4198371	1.4185749
9.4423571	1.6097846	8.5759068	2.1635183	3.0382867	0.5363659	1.5059686
9.2933673	2.0412954	8.8903519	2.1758805	3.3938450	0.5568624	1.5453617
9.0819396	1.9571465	8.3804212	2.1468208	3.5190346	0.5144510	1.8250415
8.3934817	1.7885499	9.0595049	2.2102410	3.1432524	0.5198984	1.5536072
8.9365202	1.9069625	8.5953536	2.1221050	3.4948142	0.4676807	1.3864386
9.2287945	1.5182444	8.9930601	2.1697323	3.3321697	0.6264910	1.6880134
8.9992094	1.8460123	8.3990171	2.1655572	3.5384962	0.5010769	1.6173080
8.7550082	1.8429194	8.9225981	2.0025626	3.3779392	0.5160881	1.3909405
9.3860296	1.7545978	8.2659866	2.4074823	3.1157271	0.5607891	1.5624427
7.8721004	2.0768820	8.6687724	2.1071299	3.4185622	0.5108236	1.5249024
9.0535220	1.7559123	8.5073100	2.0586016	3.4213064	0.5152566	1.6195217
9.5769539	2.0124441	8.0913700	2.1211604	3.2115389	0.6915847	1.3976054
8.0703057	1.8267190	8.7986840	2.0375319	3.4957325	0.5280351	1.4972949
9.2595957	2.0408164	8.9930163	2.1694756	3.3487651	0.5500290	1.5401248
9.0609479	1.7333198	8.1312266	2.0259434	3.3794434	0.5237492	1.5685864
8.5688222	1.7222018	8.3279848	2.2838654	3.1052433	0.5559351	1.2918878
9.7164025	1.8194743	8.6497778	2.0447619	3.1520772	0.4745488	1.4447068
8.5742828	1.7863251	8.3856549	2.1730144	3.3109961	0.4709901	1.6463322
8.5270309	1.9352503	9.2131696	2.1116644	3.5681665	0.5384855	1.6049397
9.0654496	1.8752839	8.6880607	2.1927030	3.1605513	0.5506466	1.6243294
9.0653951	1.7919741	8.9700442	2.2271124	3.2981661	0.5273425	1.6974535
9.3178028	1.7876291	8.9176347	2.1944860	3.4980005	0.4368754	1.5696861
8.4590644	2.0483863	8.9254832	1.8649146	3.6370222	0.4505528	1.5690133
9.2646844	1.8410976	8.7713709	2.3166278	3.1415690	0.6884056	1.5153180
8.7894467	1.6006115	9.1608282	1.9539211	3.5869392	0.6156521	1.5527594
8.9936937	1.6964493	8.5733158	2.0201452	3.3239681	0.4644549	1.6588650
9.3240073	1.8855409	8.3900757	2.3462532	3.3742906	0.5783339	1.5845435
9.9391230	1.7126841	8.5921229	2.0864022	3.4939032	0.5060336	1.5769750
8.9829382	1.7437255	8.6720305	2.3287106	3.2410276	0.5780062	1.7176065
9.2994089	1.9101574	8.6785245	1.9121266	3.2791427	0.5662622	1.7030973
9.0131997	2.0631563	8.1611005	2.0100835	3.2680211	0.4294140	1.2460551
8.3669944	1.6952470	8.0477015	2.4321912	3.0005832	0.4572034	1.6079822
9.1942703	1.7451720	8.3786386	1.8753137	3.5049248	0.5114723	1.5516282
9.0998435	1.7155668	9.1156091	2.0728254	3.2152148	0.5366628	1.5206604
8.9660634	1.8261852	9.0717367	2.1691606	3.0783595	0.4944377	1.3723574
8.9648246	1.8498817	8.6366456	2.1533969	3.4302522	0.4140873	1.4962762
8.4723282	1.7113258	8.2898867	2.1994361	3.4427297	0.5710761	1.4619256
8.9831980	1.7154758	8.3412906	2.0189600	3.2644001	0.4967360	1.5394812
8.6426427	1.7391644	8.3293355	2.0119833	3.2775088	0.5297087	1.4808727
